index,2021-09,2021-06,2021-03,symbol
Chi phí lãi và các khoản chi phí tương tự,4427778000000.0,4548965000000,4646484000000.0,STB
Thu nhập lãi thuần,3313028000000.0,3148209000000,3008364000000.0,STB
Thu nhập từ hoạt động dịch vụ,1062325000000.0,1478293000000,1335613000000.0,STB
Chi phí hoạt động dịch vụ,472492000000.0,541975000000,498204000000.0,STB
Thu nhập thuần từ hoạt động dịch vụ,589833000000.0,936318000000,837409000000.0,STB
Lợi nhuận thuần từ hoạt động kinh doanh ngoại hối,150086000000.0,167745000000,207102000000.0,STB
Lợi nhuận thuần từ hoạt động kinh doanh chứng khoán,0.0,0,0.0,STB
Lãi thuần từ chứng khoán đầu tư,68621000000.0,17168000000,34354000000.0,STB
Thu nhập thuần từ hoạt động kinh doanh khác,39126000000.0,475082000000,58017000000.0,STB
Thu nhập từ hoạt động khác,148566000000.0,499444000000,84326000000.0,STB
Chi phí hoạt động khác,109440000000.0,24362000000,26309000000.0,STB
Thu nhập vốn góp mua cổ phần,37766000000.0,1591000000,93000000.0,STB
Tổng thu nhập hoạt động,4198460000000.0,4746113000000,4145339000000.0,STB
Chi phí quản lý doanh nghiệp,2423811000000.0,2336056000000,2669373000000.0,STB
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,1774649000000.0,2410057000000,1475966000000.0,STB
Chi phí dự phòng rủi ro tín dụng,949878000000.0,985809000000,475722000000.0,STB
Lợi nhuận kế toán trước thuế,824771000000.0,1424248000000,1000244000000.0,STB
Chi phí thuế TNDN,185043000000.0,311409000000,199182000000.0,STB
Chi phí thuế TNDN hiện hành,185043000000.0,311409000000,199182000000.0,STB
Chi phí thuế TNDN hoãn lại,0.0,0,0.0,STB
Lợi nhuận sau thuế thu nhập doanh nghiệp,639728000000.0,1112839000000,801062000000.0,STB
Lợi ích của cổ đông thiểu số,0.0,0,0.0,STB
Lợi nhuận sau thuế của Công ty mẹ,639728000000.0,1112839000000,801062000000.0,STB
Lãi cơ bản trên cổ phiếu,0.0,0,0.0,STB
Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ ( FVTPL),,594579551041,600137348817.0,SSI
Lãi bán các tài sản tài chính PVTPL,,359730539639,394761347562.0,SSI
Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,,99985986972,82928105562.0,SSI
"Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",,134863024430,122447895693.0,SSI
Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn,,157539454479,171499122085.0,SSI
Lãi từ các khoản cho vay và phải thu ,,337960307642,245579949872.0,SSI
Lãi từ chứng khoán Nợ đầu tư sẵn sàng để bán,,0,0.0,SSI
Lãi từ các công cụ phát sinh phòng ngừa rủi ro ,,0,0.0,SSI
Doanh thu môi giới chứng khoán cho người đầu tư,,623266154850,436543995623.0,SSI
"Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,0,0.0,SSI
Doanh thu bảo lãnh phát hành chứng khoán,,15101818182,0.0,SSI
Doanh thu đại lý phát hành chứng khoán,,-12141818182,12141818182.0,SSI
Doanh thu tư vấn đầu tư chứng khoán cho người đầu tư,,3919997093,2232916330.0,SSI
Doanh thu lưu ký chứng khoán cho người đầu tư,,8186662523,8842147383.0,SSI
Doanh thu hoạt động ủy thác đấu giá,,0,0.0,SSI
"Doanh thu cho thuê tài sản, sử dụng thiết bị, sử dụng thông tin",,0,0.0,SSI
Thu từ dịch vụ tư vấn,,6544142618,952900000.0,SSI
Doanh thu khác,,31233645471,27649483773.0,SSI
Các khoản giảm trừ doanh thu,,0,0.0,SSI
Doanh thu thuần,,1766189915717,1505579682065.0,SSI
Chi phí hoạt động kinh doanh chứng khoán  ,,745571495689,695599943723.0,SSI
Lỗ các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,305529006243,384150251911.0,SSI
Lỗ bán các tài sản tài chính,,217499296206,288271127187.0,SSI
Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,,86889482087,94405745070.0,SSI
Chi phí giao dịch mua các tài sản tài chính FVTPL,,1140227950,1473379654.0,SSI
Lỗ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,0,0.0,SSI
"Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,0,0.0,SSI
Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),,0,929243500.0,SSI
"Cphí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi là lỗ suy giảm TSTC và CP đi vay",,479031587,-9989360387.0,SSI
Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,0,0.0,SSI
Chi phí hoạt động tự doanh,,7598870464,6630356600.0,SSI
Chi phí môi giới chứng khoán,,369791692573,257259409976.0,SSI
"Chi phí hoạt động bảo lãnh, đại lý phát hành chứng khoán",,2080356891,9346150795.0,SSI
Chi phí tư vấn đầu tư chứng khoán,,5541798579,4699586029.0,SSI
"Chí phí hoạt động đấu giá, ủy thác",,0,0.0,SSI
Chi phí lưu ký chứng khoán,,9715822994,9411452600.0,SSI
Chi phí hoạt động tư vấn tài chính,,7624521017,1613561449.0,SSI
Chi phí khác của HĐKD,,37210395341,31549291250.0,SSI
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,0,0.0,SSI
Lợi nhuận gộp,,1020618420028,809979738342.0,SSI
Doanh thu hoạt động tài chính,,19293981037,11974837543.0,SSI
Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,5142498731,3016266176.0,SSI
"Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",,4435137974,4404041045.0,SSI
"Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,0,0.0,SSI
Doanh thu khác về đầu tư,,9716344332,4554530322.0,SSI
Chi phí tài chính,,240317220815,242936528992.0,SSI
Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,,3218311377,13823379973.0,SSI
Chi phí lãi vay,,229591683137,222007328495.0,SSI
"Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,0,0.0,SSI
Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn,,0,0.0,SSI
