index,2021-06,2021-03,2021-09,symbol
"Tiền mặt, vàng bạc, đá quí",9907548000000,9120193000000,,STB
Tiền gửi tại NHNN,11367139000000,11896701000000,,STB
"Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",13541640000000,8631605000000,,STB
Tiền gửi tại các TCTD khác,12944363000000,7773374000000,,STB
Cho vay các TCTD khác,704970000000,858231000000,,STB
Dự phòng rủi ro,-107693000000,0,,STB
Chứng khoán kinh doanh,0,0,,STB
Dự phòng giảm giá chứng khoán kinh doanh,0,0,,STB
Các công cụ chứng khoán phái sinh và các tài sản tài chính khác,4442000000,22350000000,,STB
Cho vay khách hàng,355342446000000,351318425000000,,STB
Dự phòng rủi ro cho vay khách hàng,-5766847000000,-5656168000000,,STB
Hoạt động mua nợ,285821000000,286306000000,,STB
Mua nợ,287981000000,288706000000,,STB
Dự phòng rủi ro hoạt động mua nợ,-2160000000,-2400000000,,STB
Chứng khoán đầu tư,73027416000000,72358815000000,,STB
Sẵn sàng để bán,40278335000000,47644668000000,,STB
Đầu tư giữ đến ngày đáo hạn,38114998000000,29313443000000,,STB
Dự phòng giảm giá chứng khoán đầu tư,-5365917000000,-4599296000000,,STB
"Góp vốn, đầu tư dài hạn",227872000000,124593000000,,STB
Đầu tư vào công ty con,0,0,,STB
"Đầu tư vào công ty liên doanh, liên kết",0,0,,STB
Góp vốn liên doanh,0,0,,STB
Đầu tư vào công ty liên kết,0,0,,STB
Đầu tư dài hạn khác,257764000000,257764000000,,STB
Dự phòng giảm giá đầu tư dài hạn,-29892000000,-133171000000,,STB
Tài sản cố định,8475762000000,8473407000000,,STB
Tài sản cố định hữu hình,4666798000000,4695443000000,,STB
Nguyên giá TSCĐHH,7868949000000,7826365000000,,STB
Hao mòn TSCĐHH,-3202151000000,-3130922000000,,STB
Tài sản cố định thuê tài chính,0,0,,STB
Nguyên giá TSCĐTTC,0,0,,STB
Hao mòn TSCĐTTC,0,0,,STB
Tài sản cố định vô hình,3808964000000,3777964000000,,STB
Nguyên giá TSCĐVH,5181307000000,5097224000000,,STB
Hao mòn TSCĐVH,-1372343000000,-1319260000000,,STB
Bất động sản đầu tư,0,0,,STB
Nguyên giá bất động sản đầu tư,0,0,,STB
Hao mòn bất động sản đầu tư,0,0,,STB
Tài sản Có khác,32353631000000,35195284000000,,STB
Các khoản phải thu,19901312000000,20510445000000,,STB
"Các khoản lãi, phí phải thu",14051495000000,16182597000000,,STB
Tài sản thuế TNDN hoãn lại,450213000000,450423000000,,STB
Tài sản có khác,1033093000000,1135655000000,,STB
